accuracy,loss,val_accuracy,val_loss,learning_rate
0.6359683871269226,1.1722095012664795,0.889502763748169,0.4910544753074646,0.0010000000474974513
0.8691699504852295,0.5221220850944519,0.9134438037872314,0.3243834674358368,0.0010000000474974513
0.8984189629554749,0.38723811507225037,0.9318600296974182,0.2607061266899109,0.0010000000474974513
0.9039525985717773,0.33753031492233276,0.9318600296974182,0.24205879867076874,0.0010000000474974513
0.9229248762130737,0.2875460684299469,0.9429097771644592,0.21530170738697052,0.0010000000474974513
0.925296425819397,0.26434755325317383,0.9429097771644592,0.2087610960006714,0.0010000000474974513
0.9363636374473572,0.23894399404525757,0.9484346508979797,0.1898716539144516,0.0010000000474974513
0.9343873262405396,0.23164002597332,0.950276255607605,0.18278852105140686,0.0010000000474974513
0.939130425453186,0.21222630143165588,0.9558011293411255,0.1816093623638153,0.0010000000474974513
0.939920961856842,0.2078644186258316,0.9521178603172302,0.16915394365787506,0.0010000000474974513
